overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
4.0,True,"07 3, 2014",A2LSKD2H9U8N0J,B000FA5KK0,{'Format:': ' Kindle Edition'},sandra sue marsolek,"pretty good story, a little exaggerated, but I liked it pretty well.  liked the characters, the plot..it had mystery, action, love, all of the main things. I think most western lovers would injoy this book",pretty good story,1404345600,,
5.0,True,"05 26, 2014",A2QP13XTJND1QS,B000FA5KK0,{'Format:': ' Kindle Edition'},Tpl,"If you've read other max brand westerns, you know what to expect, if not, you,'re in for a treat. Let's strap on our six guns! We gotta ride!",A very good book,1401062400,,
5.0,True,"09 16, 2016",A8WQ7MAG3HFOZ,B000FA5KK0,{'Format:': ' Kindle Edition'},Alverne F. Anderson,"Love Max, always a fun twist",Five Stars,1473984000,,
5.0,True,"03 3, 2016",A1E0MODSRYP7O,B000FA5KK0,{'Format:': ' Kindle Edition'},Jeff,"As usual for him, a good book",a good,1456963200,,
5.0,True,"09 10, 2015",AYUTCGVSM1H7T,B000FA5KK0,{'Format:': ' Kindle Edition'},DEHS - EddyRapcon,"MB is one of the original western writers and after so many years and so many retreads the man is in a class all his own. Just like Zane Grey and Bret Harrell. This is an excellent read, from a time of real cowmen, for the genre.....ER",A Western,1441843200,2,
5.0,True,"06 14, 2015",A9DXGM6YGV14D,B000FA5KK0,{'Format:': ' Kindle Edition'},Linda DeWachter,great book,Five Stars,1434240000,,
3.0,True,"06 2, 2015",A3MF8G33UKQLGL,B000FA5KK0,{'Format:': ' Kindle Edition'},mzbeastle,"A good, solid Western - yes, a little contrived and predictable, but I enjoyed it the same way I enjoy those old Republic ""B"" Westerns. It was a fun read, and I like the writing style as well as the author's use of language. I plan to read more Max Brand books, because they are entertaining without a lot of emotional investment. Sort of like a ""cozy mystery"" - there's a place for just about everything!","Fast read, entertaining, like a 1930s Western movie",1433203200,3,
4.0,True,"05 3, 2015",A12AIK6DSUF1EW,B000FA5KK0,{'Format:': ' Kindle Edition'},R. DAVIS,ALMOST BEEN TOO LONG SINCE I READ IT. GOOD READ OR I WOULD NOT HAVE FINISHED IT,ANOTHER GOOD WESTERN,1430611200,,
5.0,True,"02 2, 2015",A2RW1CXT3XSLXW,B000FA5KK0,{'Format:': ' Kindle Edition'},Barbara Rigsby,"Enjoyed this book and will read more from this writer,have read other books and will read more. Very good story line.",Good,1422835200,,
4.0,True,"12 19, 2014",A2ID7H6SRK5XS0,B000FA5KK0,{'Format:': ' Kindle Edition'},Richard Johnson,A very good read for you Western fans.  Great price too.,Get it,1418947200,,
